name,geocode,year,parent_level,long_name,geo_level,parent_code
Kathmandu,dis-100,2016,province,Kathmandu,district,pro-3
Makwanpur,dis-1006,2016,province,Makwanpur,district,pro-3
Parsa,dis-1101,2016,province,Parsa,district,pro-2
Rautahat,dis-1123,2016,province,Rautahat,district,pro-2
Bhojpur,dis-1236,2016,province,Bhojpur,district,pro-1
Dhankuta,dis-1299,2016,province,Dhankuta,district,pro-1
Morang,dis-1326,2016,province,Morang,district,pro-1
Sankhuwasabha,dis-1394,2016,province,Sankhuwasabha,district,pro-1
Sunsari,dis-1467,2016,province,Sunsari,district,pro-1
Tehrathum,dis-1475,2016,province,Tehrathum,district,pro-1
Ilam,dis-1538,2016,province,Ilam,district,pro-1
Jhapa,dis-1581,2016,province,Jhapa,district,pro-1
Panchthar,dis-1658,2016,province,Panchthar,district,pro-1
Taplejung,dis-1659,2016,province,Taplejung,district,pro-1
Khotang,dis-1709,2016,province,Khotang,district,pro-1
Okhaldhunga,dis-1809,2016,province,Okhaldhunga,district,pro-1
Kavrepalanchowk,dis-190,2016,province,Kavrepalanchowk,district,pro-3
Saptari,dis-1910,2016,province,Saptari,district,pro-2
Bhaktapur,dis-2,2016,province,Bhaktapur,district,pro-3
Siraha,dis-2001,2016,province,Siraha,district,pro-2
Solukhumbu,dis-2050,2016,province,Solukhumbu,district,pro-1
Udayapur,dis-2123,2016,province,Udayapur,district,pro-1
Baitadi,dis-2132,2016,province,Baitadi,district,pro-7
Dadeldhura,dis-2192,2016,province,Dadeldhura,district,pro-7
Darchula,dis-2221,2016,province,Darchula,district,pro-7
Kanchanpur,dis-2269,2016,province,Kanchanpur,district,pro-7
Achham,dis-2329,2016,province,Achham,district,pro-7
Bajhang,dis-2349,2016,province,Bajhang,district,pro-7
Bajura,dis-2407,2016,province,Bajura,district,pro-7
Lalitpur,dis-244,2016,province,Lalitpur,district,pro-3
Doti,dis-2440,2016,province,Doti,district,pro-7
Kailali,dis-2503,2016,province,Kailali,district,pro-7
Banke,dis-2530,2016,province,Banke,district,pro-5
Bardiya,dis-2593,2016,province,Bardiya,district,pro-5
Surkhet,dis-2618,2016,province,Surkhet,district,pro-6
Dang,dis-2671,2016,province,Dang,district,pro-5
Nuwakot,dis-268,2016,province,Nuwakot,district,pro-3
Pyuthan,dis-2714,2016,province,Pyuthan,district,pro-5
Rolpa,dis-2785,2016,province,Rolpa,district,pro-5
Eastern Rukum,dis-2807,2016,province,Eastern Rukum,district,pro-5
Salyan,dis-2856,2016,province,Salyan,district,pro-6
Baglung,dis-2890,2016,province,Baglung,district,pro-4
Mustang,dis-2920,2016,province,Mustang,district,pro-4
Myagdi,dis-2972,2016,province,Myagdi,district,pro-4
Parbat,dis-3020,2016,province,Parbat,district,pro-4
Gorkha,dis-3077,2016,province,Gorkha,district,pro-4
Kaski,dis-3111,2016,province,Kaski,district,pro-4
Rasuwa,dis-319,2016,province,Rasuwa,district,pro-3
Lamjung,dis-3190,2016,province,Lamjung,district,pro-4
Manang,dis-3212,2016,province,Manang,district,pro-4
Syangja,dis-3227,2016,province,Syangja,district,pro-4
Tanahu,dis-3324,2016,province,Tanahu,district,pro-4
Arghakhanchi,dis-3357,2016,province,Arghakhanchi,district,pro-5
Gulmi,dis-3427,2016,province,Gulmi,district,pro-5
Kapilvastu,dis-3487,2016,province,Kapilvastu,district,pro-5
Nawalparasi,dis-3579,2016,province,Nawalparasi,district,pro-5
Nawalparasi,dis-3585,2016,province,Nawalparasi,district,pro-5
Palpa,dis-3630,2016,province,Palpa,district,pro-5
Rupandehi,dis-3703,2016,province,Rupandehi,district,pro-5
Rupandehi,dis-3715,2016,province,Rupandehi,district,pro-5
Humla,dis-3738,2016,province,Humla,district,pro-6
Mugu,dis-3746,2016,province,Mugu,district,pro-6
Dolpa,dis-3751,2016,province,Dolpa,district,pro-6
Jumla,dis-3759,2016,province,Jumla,district,pro-6
Kalikot,dis-3768,2016,province,Kalikot,district,pro-6
Jajarkot,dis-3783,2016,province,Jajarkot,district,pro-6
Dailekh,dis-3792,2016,province,Dailekh,district,pro-6
Dhanusa,dis-496,2016,province,Dhanusa,district,pro-2
Dhading,dis-51,2016,province,Dhading,district,pro-3
Dolakha,dis-528,2016,province,Dolakha,district,pro-3
Bara,dis-5555,2016,province,Bara,district,pro-2
Mahottari,dis-614,2016,province,Mahottari,district,pro-2
Ramechhap,dis-650,2016,province,Ramechhap,district,pro-3
Sarlahi,dis-763,2016,province,Sarlahi,district,pro-2
Sindhupalchowk,dis-81,2016,province,Sindhupalchowk,district,pro-3
Sindhuli,dis-829,2016,province,Sindhuli,district,pro-3
Chitwan,dis-953,2016,province,Chitwan,district,pro-3
